threshold,precision,recall
-0.8827714983335012,0.03376304481276857,0.9821428571428571
-0.8825632644937305,0.033783783783783786,0.9821428571428571
-0.8817043236990751,0.03380454824830977,0.9821428571428571
-0.8816588186838359,0.033825338253382534,0.9821428571428571
-0.8810494825021917,0.033846153846153845,0.9821428571428571
-0.8803007813051585,0.033866995073891626,0.9821428571428571
-0.8785312498034655,0.033887861983980284,0.9821428571428571
-0.8783613084609643,0.03390875462392109,0.9821428571428571
-0.8775339077198205,0.03392967304133251,0.9821428571428571
-0.8770165694765129,0.033950617283950615,0.9821428571428571
-0.875521739474104,0.033971587399629403,0.9821428571428571
-0.8748356920219374,0.033992583436341164,0.9821428571428571
-0.874560944465599,0.034013605442176874,0.9821428571428571
-0.8745318512725254,0.03403465346534654,0.9821428571428571
-0.8714185551479176,0.034055727554179564,0.9821428571428571
